team,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17
ARI,0.03500000000000003,0.11499999999999999,0.14500000000000002,0.13,0.17499999999999993,0.14,0.135,0.04999999999999999,0.0,0.04000000000000001,0.005000000000000001,0.015000000000000003,0.009999999999999998,0.0,0.0,0.0,0.0,0.005
ATL,0.020000000000000018,0.015000000000000013,0.05999999999999994,0.06499999999999995,0.07500000000000007,0.12,0.13,0.12,0.08000000000000002,0.11499999999999999,0.025000000000000022,0.12,0.024999999999999998,0.005000000000000001,0.010000000000000002,0.0,0.009999999999999998,0.005
BAL,0.015000000000000013,0.0050000000000000044,0.0050000000000000044,0.0,0.020000000000000018,0.0,0.20499999999999996,0.08000000000000007,0.0,0.0,0.09999999999999987,0.16500000000000004,0.13,0.09500000000000003,0.07499999999999998,0.05500000000000001,0.04,0.01
BUF,0.0050000000000000044,0.015000000000000013,0.0050000000000000044,0.0,0.0,0.0,0.04500000000000004,0.07499999999999996,0.07000000000000006,0.10499999999999998,0.11499999999999999,0.17999999999999994,0.14500000000000002,0.10999999999999999,0.04500000000000001,0.04999999999999999,0.025,0.01
CAR,0.020000000000000018,0.0050000000000000044,0.025000000000000022,0.04499999999999993,0.10499999999999998,0.10499999999999998,0.1050000000000001,0.16999999999999998,0.09499999999999997,0.135,0.06999999999999999,0.045,0.040000000000000015,0.004999999999999994,0.005000000000000001,0.0,0.0,0.025
CHI,0.0050000000000000044,0.015000000000000013,0.0050000000000000044,0.010000000000000009,0.015000000000000013,0.04999999999999993,0.06500000000000006,0.09499999999999997,0.12,0.135,0.12,0.09999999999999998,0.09000000000000002,0.07499999999999998,0.035,0.030000000000000006,0.029999999999999995,0.005
CIN,0.020000000000000018,0.0,0.0050000000000000044,0.11499999999999999,0.0,0.0,0.039999999999999925,0.0050000000000001155,0.09999999999999998,0.11499999999999999,0.135,0.12,0.11499999999999999,0.11999999999999998,0.055,0.024999999999999998,0.0,0.030000000000000002
CLE,0.020000000000000018,0.030000000000000027,0.06499999999999995,0.10999999999999999,0.15000000000000002,0.16000000000000003,0.135,0.13999999999999996,0.0,0.095,0.045,0.015,0.010000000000000002,0.0,0.0,0.0,0.0,0.025
DAL,0.015000000000000013,0.0,0.010000000000000009,0.0050000000000000044,0.0050000000000000044,0.029999999999999916,0.05500000000000005,0.125,0.09999999999999998,0.11499999999999999,0.13,0.13,0.09000000000000002,0.07500000000000001,0.08499999999999999,0.0049999999999999975,0.02,0.005
DEN,0.015000000000000013,0.0,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.03499999999999992,0.06000000000000005,0.09499999999999997,0.10499999999999998,0.12,0.14,0.135,0.05500000000000002,0.13,0.0050000000000000044,0.05499999999999999,0.010000000000000002,0.025
DET,0.010000000000000009,0.020000000000000018,0.050000000000000044,0.0,0.0,0.03499999999999992,0.0,0.0,0.10499999999999998,0.10999999999999999,0.1050000000000001,0.15999999999999992,0.14500000000000002,0.14,0.05499999999999999,0.015000000000000006,0.0,0.049999999999999996
