team,espn_fpi,nfelo,clay,pff,epa
LA,5.854,7.5175,9.362549800796819,5.240911354581677,10.149582469603047
BUF,4.11,6.5575,3.1872509960159428,4.623381474103588,7.273674750467762
SEA,3.552,10.2775,5.378486055776898,4.902265936254984,8.756532514235005
BAL,3.451,3.1975,5.976095617529888,4.583540836653389,1.0113260650541633
SF,2.961,5.2775,1.9920318725099673,2.651269920318727,0.14991945936344564
LAC,2.9,-1.0425,1.9920318725099673,2.7707918326693255,2.655076974770054
GB,2.718,0.2775,2.1912350597609627,2.8305527888446234,4.410964244743809
DET,2.624,5.1175,7.171314741035863,4.205054780876495,3.3472878800239414
KC,2.548,-1.8825,2.9880478087649474,2.3923057768924307,2.7665765897836536
PHI,2.082,3.9975,4.9800796812749075,2.969995019920321,3.786002838751301
DAL,1.879,0.4375,3.784860557768932,0.6791583665338661,-2.275180449942127
CIN,1.839,0.5175,3.3864541832669377,1.7150149402390444,-5.337852245429531
HOU,1.67,5.0775,1.9920318725099673,2.6911105577689254,5.733272799989209
NE,1.498,6.1575,3.1872509960159428,2.5317480079681283,8.90019609942101
DEN,1.46,2.3975,4.9800796812749075,2.5317480079681283,4.234986001392826
JAX,1.124,5.3975,0.1992031872510024,1.8743774900398416,5.3666673542466015
CHI,1.11,3.1575,-0.19920318725098823,1.2568476095617565,1.5071811096277088
TB,0.035,-1.5625,0.9960159362549872,-0.35669820717131234,-0.22880351752974093
IND,-0.359,-3.4025,-0.5976095617529824,-1.5519173306772895,3.503151604672894
MIN,-0.4,-0.5625,-1.7928286852589577,-0.1774153386454162,-0.119667878607288
PIT,-0.558,0.7175,0.3984063745019977,-0.43637948207171257,-1.0331440775189549
WAS,-1.4,-6.4025,-4.183266932270908,-1.6714392430278864,-5.62379807815887
NYG,-1.528,-2.9225,-1.992031872509953,-2.269048804780874,-2.4708855955395848
ATL,-1.802,0.0375,-5.577689243027881,-2.269048804780874,-0.5613066314253956
NO,-2.817,-3.2825,-1.5936254980079607,-1.6913595617529855,-1.216484239557758
CAR,-2.903,-3.4025,-4.382470119521906,-2.9662599601593613,-4.171876242617145
TEN,-4.016,-6.2025,-7.370517928286846,-4.241160358565735,-12.324164068559185
LV,-4.673,-8.0825,-7.569721115537841,-5.316857569721114,-10.714660590747371
NYJ,-4.702,-11.4025,-2.5896414342629406,-6.093749999999997,-13.259667909005657
CLE,-5.313,-4.3625,-4.581673306772901,-4.838769920318723,-4.310280835488811
ARI,-5.382,-5.8825,-9.960159362549794,-8.304905378486053,-4.816063126781955
MIA,-6.143,-5.7225,-11.752988047808758,-8.265064741035856,-5.088563269237056
